company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Roper Technologies,497,-9.0,6415.8,1152.6,19300.0,Technology,Sarasota,FL,no,no,no,yes,488.0,L. Neil Hunn,https://www.ropertech.com,ROP,49868.8
ARKO,498,0.0,6412.6,59.2,11236.0,Retailing,Richmond,VA,yes,no,no,yes, ,Arie Kotler,https://www.arkocorp.com,ARKO,1133.9
Frontier Communications,499,-97.0,6411.0,,15640.0,Telecommunications,Norwalk,CT,no,no,no,no,402.0,Nick Jeffery,https://www.frontier.com,FYBR,6763.1
Ameren,500,-31.0,6394.0,990.0,9116.0,Energy,St. Louis,MO,no,no,no,yes, ,Martin J. Lyons Jr.,https://www.ameren.com,AEE,24198.7
O-I Glass,501,0.0,6357.0,149.0,24000.0,Materials,Perrysburg,OH,no,no,no,yes, ,Andres A. Lopez,https://www.o-i.com,OI,2058
Chemours,502,0.0,6345.0,608.0,6400.0,Chemicals,Wilmington,DE,no,no,no,yes, ,Mark E. Newman,https://www.chemours.com,CC,5015
Crown Castle International,503,0.0,6340.0,1096.0,5000.0,Financials,Houston,TX,no,no,no,yes, ,Jay A. Brown,https://www.crowncastle.com,CCI,79937.3
Agilent Technologies,504,0.0,6319.0,1210.0,17000.0,Technology,Santa Clara,CA,no,no,no,yes, ,Michael R. McMullen,https://www.agilent.com,A,39714
McCormick,505,0.0,6317.9,755.3,14000.0,"Food, Beverages & Tobacco",Hunt Valley,MD,no,no,no,yes, ,Lawrence Kurzius,https://www.mccormickcorporation.com,MKC,19156
Skechers U.S.A.,506,0.0,6310.2,741.5,8950.0,Apparel,Manhattan Beach,CA,no,yes,no,yes, ,Robert Greenberg,https://www.skechers.com,SKX,6360.4
Watsco,507,0.0,6280.2,418.9,6875.0,Wholesalers,Miami,FL,no,no,no,yes, ,Albert H. Nahmad,https://www.watsco.com,WSO,11842.6
Live Nation Entertainment,508,0.0,6268.4,-650.9,16200.0,Media,Beverly Hills,CA,no,no,no,no, ,Michael Rapino,https://www.livenationentertainment.com,LYV,26425
Lululemon athletica,509,0.0,6256.6,975.3,29000.0,Retailing,Sumner,WA,no,no,no,yes, ,Calvin McDonald,https://www.lululemon.com,LULU,46717.8
ABM Industries,510,0.0,6228.6,126.3,124000.0,Business Services,New York,NY,no,no,no,yes, ,Scott B. Salmirs,https://www.abm.com,ABM,3078.7
Post Holdings,511,0.0,6226.7,166.7,10735.0,"Food, Beverages & Tobacco",St. Louis,MO,no,no,no,yes, ,Robert V. Vitale,https://www.postholdings.com,POST,4284.4
Moody's,512,0.0,6218.0,2214.0,13460.0,Business Services,New York,NY,no,no,no,yes, ,Robert S. Fauber,https://www.moodys.com,MCO,62548.1
Select Medical Holdings,513,0.0,6204.5,402.2,43200.0,Health Care,Mechanicsburg,PA,no,no,no,yes, ,David S. Chernow,https://www.selectmedicalholdings.com,SEM,3208.6
Alaska Air Group,514,0.0,6176.0,478.0,21691.0,Transportation,Seattle,WA,no,no,no,yes, ,Benito Minicucci,https://www.alaskaair.com,ALK,7314.3
Big Lots,515,0.0,6150.6,177.8,23350.0,Retailing,Columbus,OH,no,no,no,yes, ,Bruce K. Thorn,https://www.biglots.com,BIG,988.1
Amkor Technology,516,0.0,6138.3,643.0,30400.0,Technology,Tempe,AZ,no,no,no,yes, ,Guillaume Marie Jean Rutten,https://www.amkor.com,AMKR,5313
Sinclair Broadcast Group,517,0.0,6134.0,-414.0,11500.0,Media,Hunt Valley,MD,no,no,no,no, ,Christopher S. Ripley,https://www.sbgi.net,SBGI,2008.1
RPM International,518,0.0,6106.3,502.6,15490.0,Chemicals,Medina,OH,no,no,no,yes, ,Frank C. Sullivan,https://www.rpminc.com,RPM,10560.8
M&T Bank,519,0.0,6105.8,1858.7,17342.0,Financials,Buffalo,NY,no,no,no,yes, ,René F. Jones,https://www.mtb.com,MTB,21875
Sprouts Farmers Market,520,0.0,6099.9,244.2,31000.0,Food & Drug Stores,Phoenix,AZ,no,no,no,yes, ,Jack L. Sinclair,https://www.sprouts.com,SFM,3546.8
Huntington Bancshares,521,0.0,6080.0,1295.0,18442.0,Financials,Columbus,OH,no,no,no,yes, ,Stephen D. Steinour,https://www.huntington.com,HBAN,21123.4
CACI International,522,0.0,6044.1,457.4,22000.0,Technology,Reston,VA,no,no,no,yes, ,John S. Mengucci,https://www.caci.com,CACI,7051.2
JetBlue Airways,523,0.0,6037.0,-182.0,17459.0,Transportation,Long Island City,NY,no,no,no,no, ,Robin Hayes,https://www.jetblue.com,JBLU,4786.9
SVB Financial Group,524,0.0,6027.0,1833.0,6567.0,Financials,Santa Clara,CA,no,no,no,yes, ,Gregory W. Becker,https://www.svb.com,SIVB,32901
Fastenal,525,0.0,6010.9,925.0,18370.0,Wholesalers,Winona,MN,no,no,no,yes, ,Daniel L. Florness,https://www.fastenal.com,FAST,34187.9
GameStop,526,0.0,6010.7,-381.3,22500.0,Retailing,Grapevine,TX,no,no,no,no, ,Matthew Furlong,https://www.gamestop.com,GME,12716.6
Knight-Swift Transportation Holdings,527,0.0,5998.0,743.4,27650.0,Transportation,Phoenix,AZ,no,no,no,yes, ,David A. Jackson,https://www.knighttrans.com,KNX,8386
Airbnb,528,0.0,5991.8,-352.0,6132.0,Technology,San Francisco,CA,no,yes,no,no, ,Brian Chesky,https://www.airbnb.com,ABNB,110419.9
Patterson,529,0.0,5912.1,156.0,7800.0,Health Care,St. Paul,MN,no,no,no,yes, ,Mark S. Walchirk,https://www.pattersoncompanies.com,PDCO,3160
PENN Entertainment,530,0.0,5905.0,420.8,21973.0,"Hotels, Restaurants & Leisure",Wyomissing,PA,no,no,no,yes, ,Jay A. Snowden,https://www.pennentertainment.com,PENN,7140.2
ServiceNow,531,0.0,5896.0,230.0,16881.0,Technology,Santa Clara,CA,no,no,no,yes, ,William McDermott,https://www.servicenow.com,NOW,70419
Nasdaq,532,0.0,5886.0,1187.0,5814.0,Financials,New York,NY,no,no,yes,yes, ,Adena T. Friedman,https://www.nasdaq.com,NDAQ,29298.2
Brunswick,533,0.0,5846.2,593.3,18582.0,Transportation,Mettawa,IL,no,no,no,yes, ,David M. Foulkes,https://www.brunswick.com,BC,6197.3
Resideo Technologies,534,0.0,5846.0,242.0,13300.0,Materials,Scottsdale,AZ,no,no,no,yes, ,Jay L. Geldmacher,https://www.resideo.com,REZI,3455.8
Chesapeake Energy,535,0.0,5809.0,,1300.0,Energy,Oklahoma City,OK,no,no,no,no, ,Domenic J. Dell&#039;Osso Jr.,https://www.chk.com,CHK,11135.9
Petco Health and Wellness,536,0.0,5807.1,164.4,28495.0,Retailing,San Diego,CA,no,no,no,yes, ,Ronald Coughlin Jr.,https://www.petco.com,WOOF,5930.2
Kemper,537,0.0,5793.0,-120.5,10300.0,Financials,Chicago,IL,no,no,no,no, ,Joseph P. Lacher Jr.,https://www.kemper.com,KMPR,3606
Hilton Worldwide Holdings,538,0.0,5788.0,410.0,142000.0,"Hotels, Restaurants & Leisure",McLean,VA,no,no,no,yes, ,Christopher J. Nassetta,https://www.hilton.com,HLT,42356.6
Cerner,539,0.0,5764.8,555.6,25150.0,Health Care,North Kansas City,MO,no,no,no,yes, ,David T. Feinberg,https://www.cerner.com,,27492.2
Levi Strauss,540,0.0,5763.9,553.5,16600.0,Apparel,San Francisco,CA,no,no,no,yes, ,Charles Bergh,https://www.levistrauss.com,LEVI,5740
Tapestry,541,0.0,5746.3,834.2,14250.0,Apparel,New York,NY,no,no,yes,yes, ,Joanne C. Crevoiserat,https://www.tapestry.com,TPR,9807.2
NetApp,542,0.0,5744.0,730.0,11000.0,Technology,San Jose,CA,no,no,no,yes, ,George Kurian,https://www.netapp.com,NTAP,18470.5
KB Home,543,0.0,5724.9,564.7,2244.0,Engineering & Construction,Los Angeles,CA,no,no,no,yes, ,Jeffrey T. Mezger,https://www.kbhome.com,KBH,2858.1
Continental Resources,544,0.0,5719.3,1661.0,1254.0,Energy,Oklahoma City,OK,no,no,no,yes, ,William B. Berry,https://www.clr.com,CLR,22342.4
Intuitive Surgical,545,0.0,5710.1,1704.6,9793.0,Health Care,Sunnyvale,CA,no,no,no,yes, ,Gary S. Guthart,https://www.intuitive.com,ISRG,108361.9
Under Armour,546,0.0,5683.5,360.1,12300.0,Apparel,Baltimore,MD,no,no,no,yes, ,Colin Browne,https://https://about.underarmour.com,UAA,7712.4
MDU Resources Group,547,0.0,5680.7,378.1,12826.0,Energy,Bismarck,ND,no,no,no,yes, ,David L. Goodin,https://www.mdu.com,MDU,5419.3
Silgan Holdings,548,0.0,5677.1,359.1,15720.0,Materials,Stamford,CT,no,no,no,yes, ,Adam J. Greenlee,https://www.silganholdings.com,SLGN,5104.3
Ryerson Holding,549,0.0,5675.3,294.3,4000.0,Materials,Chicago,IL,no,no,no,yes, ,Edward J. Lehner,https://www.ryerson.com,RYI,1344.6
